schema,table,column,type,max_length,is_nullable,has_default
dbo,mt02,MT02_REFR,nvarchar,30,0,0
dbo,mt02,MT02_CUST,int,4,1,0
dbo,mt02,MT02_SITE,int,4,1,0
dbo,mt02,MT02_SERV,int,4,1,0
dbo,mt02,MT02_DATE,smalldatetime,4,1,0
dbo,mt02,MT02_CODE,varchar,2,1,0
dbo,mt02,MT02_AMNT,decimal,9,1,0
dbo,mt02,MT02_DESC,text,16,1,0
dbo,mt02,MT02_QTY,decimal,9,1,0
dbo,mt02,MT02_IDTE,smalldatetime,4,1,0
dbo,mt02,MT02_ROUT,int,4,1,0
dbo,mt02,MT02_SEQU,decimal,9,1,0
dbo,mt02,MT02_RATE,decimal,9,1,0
dbo,mt02,MT02_LMUSER,varchar,10,1,0
dbo,mt02,MT02_LMDATE,smalldatetime,4,1,0
dbo,mt02,MT02_DESC0,varchar,40,1,0
dbo,mt02,MT02_DESC1,varchar,40,1,0
dbo,mt02,MT02_DESC2,varchar,40,1,0
dbo,mt02,MT02_DESC3,varchar,40,1,0
dbo,mt02,MT02_LF05ID,int,4,1,0
dbo,mt02,MT02_OWN,char,1,0,1
dbo,mt02,MT02_SCHID,int,4,1,0
dbo,mt02,MT02_SCHIDW,int,4,1,0
dbo,mt02,MT02_FCTY,nvarchar,4,1,0
dbo,mt02,MT02_SP05LFID,int,4,1,0
dbo,sm01,SM01_DATE,smalldatetime,4,0,0
dbo,sm01,SM01_ROUT,int,4,0,0
dbo,sm01,SM01_SEQU,decimal,9,0,0
dbo,sm01,SM01_CUST,int,4,1,0
dbo,sm01,SM01_SITE,int,4,1,0
dbo,sm01,SM01_SERV,int,4,1,0
dbo,sm01,SM01_QTY,decimal,9,0,0
dbo,sm01,SM01_ACTV,varchar,2,1,0
dbo,sm01,SM01_AMNT,decimal,9,1,0
dbo,sm01,SM01_IDTE,smalldatetime,4,1,0
dbo,sm01,SM01_REFN,nvarchar,400,1,0
dbo,sm01,SM01_TIME,smalldatetime,4,1,0
dbo,sm01,SM01_WONU,int,4,1,0
dbo,sm01,SM01_DATA,ntext,16,1,0
dbo,sm01,SM01_LOGID,int,4,1,0
dbo,sm01,SM01_ARATEID,int,4,1,0
dbo,sm01,SM01_CALLID,int,4,1,0
dbo,sm01,SM01_USER,varchar,10,1,0
dbo,sm01,SM01_CDTE,smalldatetime,4,1,0
dbo,sm01,SM01_TIM2,smalldatetime,4,1,0
dbo,sm01,SM01_CALLNUMBER,int,4,0,0
dbo,sm01,SM01_STORIG,int,4,1,0
dbo,sm01,SM01_STPREV,int,4,1,0
dbo,sm01,SM01_STNEXT,int,4,1,0
dbo,sm01,SM01_PCHG,decimal,9,1,1
dbo,sm01,SM01_ORIG_SEQU,decimal,9,1,0
